Employee #,Date,Time-in,Time-out,
10010,09/15/2022,8:00,17:00,
10011,09/15/2022,8:00,17:00,
10012,09/15/2022,8:00,17:00,
10013,09/15/2022,8:00,17:00,
10014,09/15/2022,8:00,17:00,
10015,09/15/2022,8:00,17:00,
10016,09/15/2022,8:00,17:00,
10017,09/15/2022,8:05,17:00,
10018,09/15/2022,8:00,17:00,
10019,09/15/2022,8:00,17:00,
10020,09/15/2022,8:00,17:00,
10021,09/15/2022,8:00,17:00,
10022,09/15/2022,8:00,17:00,
10023,09/15/2022,9:00,17:00,
10024,09/15/2022,0:00,0:00,
10025,09/15/2022,8:00,17:00,
10001,09/16/2022,8:00,17:00,
10002,09/16/2022,8:00,17:00,
10003,09/16/2022,8:00,17:00,
10004,09/16/2022,8:00,17:00,
10005,09/16/2022,8:00,17:00,
10006,09/16/2022,8:00,17:00,
10007,09/16/2022,8:00,17:00,
10008,09/16/2022,8:00,17:00,
10009,09/16/2022,8:00,17:00,
10010,09/16/2022,8:00,17:00,
10011,09/16/2022,8:00,17:00,
10012,09/16/2022,8:00,17:00,
10013,09/16/2022,8:00,17:00,
10014,09/16/2022,8:00,17:00,
10015,09/16/2022,8:00,17:00,
10016,09/16/2022,8:00,17:00,
10017,09/16/2022,8:00,17:00,
10018,09/16/2022,8:00,17:00,
10019,09/16/2022,8:00,17:00,
10020,09/16/2022,8:00,17:00,
10021,09/16/2022,8:00,17:00,
10022,09/16/2022,8:00,17:00,
10023,09/16/2022,8:00,17:00,
10024,09/16/2022,8:00,17:00,
10025,09/16/2022,8:00,17:00,
10001,09/19/2022,8:00,17:00,
10002,09/19/2022,8:00,17:00,
10003,09/19/2022,8:00,17:00,
10004,09/19/2022,8:00,17:00,
10005,09/19/2022,8:00,17:00,
10006,09/19/2022,8:00,17:00,
10007,09/19/2022,8:00,17:00,
10008,09/19/2022,8:00,17:00,
10009,09/19/2022,8:00,17:00,
10010,09/19/2022,8:00,17:00,
10011,09/19/2022,8:00,17:00,
10012,09/19/2022,8:00,17:00,
10013,09/19/2022,10:00,17:00,
10014,09/19/2022,10:00,17:00,
10015,09/19/2022,10:00,17:00,
10016,09/19/2022,10:00,17:00,
10017,09/19/2022,0:00,0:00,
10018,09/19/2022,10:00,17:00,
10019,09/19/2022,10:00,17:00,
10020,09/19/2022,10:00,17:00,
10021,09/19/2022,10:00,17:00,
10022,09/19/2022,10:00,17:00,
10023,09/19/2022,10:00,17:00,
10024,09/19/2022,10:00,17:00,
10025,09/19/2022,10:00,17:00,
10001,09/20/2022,8:00,17:00,
10002,09/20/2022,8:00,17:00,
10003,09/20/2022,8:00,17:00,
10004,09/20/2022,8:00,17:00,
10005,09/20/2022,8:00,17:00,
10006,09/20/2022,8:00,17:00,
10007,09/20/2022,8:00,17:00,
10008,09/20/2022,8:00,17:00,
10009,09/20/2022,8:00,17:00,
10010,09/20/2022,8:00,17:00,
10011,09/20/2022,8:00,17:00,
10012,09/20/2022,8:00,17:00,
10013,09/20/2022,8:00,17:00,
10014,09/20/2022,8:00,17:00,
10015,09/20/2022,8:00,17:00,
10016,09/20/2022,8:00,17:00,
10017,09/20/2022,8:00,17:00,
10018,09/20/2022,0:00,0:00,
10019,09/20/2022,8:00,17:00,
10020,09/20/2022,8:00,17:00,
10021,09/20/2022,8:00,17:00,
10022,09/20/2022,8:00,17:00,
10023,09/20/2022,8:00,17:00,
10024,09/20/2022,8:00,17:00,
10025,09/20/2022,8:00,17:00,
10001,09/21/2022,8:00,17:00,
10002,09/21/2022,8:00,17:00,
10003,09/21/2022,8:00,17:00,
10004,09/21/2022,8:00,17:00,
10005,09/21/2022,8:00,17:00,
10006,09/21/2022,8:00,17:00,
10007,09/21/2022,8:27,17:00,
10008,09/21/2022,8:01,17:00,
10009,09/21/2022,8:05,17:00,
10010,09/21/2022,8:00,17:00,
10011,09/21/2022,8:00,17:00,
10012,09/21/2022,8:00,17:00,
10013,09/21/2022,8:00,17:00,
10014,09/21/2022,8:00,17:00,
10015,09/21/2022,8:00,17:00,
10016,09/21/2022,8:28,17:00,
10017,09/21/2022,8:00,17:00,
10018,09/21/2022,0:00,0:00,
10019,09/21/2022,8:00,17:00,
10020,09/21/2022,8:00,17:00,
10021,09/21/2022,8:11,17:00,
10022,09/21/2022,8:00,17:00,
10023,09/21/2022,8:00,17:00,
10024,09/21/2022,8:21,17:00,
10025,09/21/2022,8:00,17:00,
10001,09/22/2022,8:00,17:00,
10002,09/22/2022,8:00,17:00,
10003,09/22/2022,8:00,17:00,
10004,09/22/2022,8:00,17:00,
10005,09/22/2022,8:00,17:00,
10006,09/22/2022,8:00,17:00,
10007,09/22/2022,8:00,17:00,
10008,09/22/2022,8:00,17:00,
10009,09/22/2022,8:00,17:00,
10010,09/22/2022,8:00,17:00,
10011,09/22/2022,8:00,17:00,
10012,09/22/2022,8:00,17:00,
10013,09/22/2022,8:00,17:00,
10014,09/22/2022,8:00,17:00,
10015,09/22/2022,8:00,17:00,
10016,09/22/2022,8:00,17:00,
10017,09/22/2022,8:00,17:00,
10018,09/22/2022,8:00,17:00,
10019,09/22/2022,8:00,17:00,
10020,09/22/2022,8:00,17:00,
10021,09/22/2022,8:00,17:00,
10022,09/22/2022,8:00,17:00,
10023,09/22/2022,8:00,17:00,
10024,09/22/2022,8:00,17:00,
10025,09/22/2022,8:00,17:00,
10001,09/23/2022,8:00,17:00,
10002,09/23/2022,8:00,17:00,
10003,09/23/2022,8:00,17:00,
10004,09/23/2022,8:00,17:00,
10005,09/23/2022,8:15,17:00,
10006,09/23/2022,8:00,17:00,
10007,09/23/2022,8:00,17:00,
10008,09/23/2022,8:00,17:00,
10009,09/23/2022,8:00,17:00,
10010,09/23/2022,8:00,17:00,
10011,09/23/2022,10:30,17:00,
10012,09/23/2022,8:00,17:00,
10013,09/23/2022,8:00,17:00,
10014,09/23/2022,8:00,17:00,
10015,09/23/2022,8:00,17:00,
10016,09/23/2022,8:00,17:00,
10017,09/23/2022,8:00,17:00,
10018,09/23/2022,8:00,17:00,
10019,09/23/2022,8:00,17:00,
10020,09/23/2022,8:00,17:00,
10021,09/23/2022,13:00,17:00,
10022,09/23/2022,8:00,17:00,
10023,09/23/2022,8:00,17:00,
10024,09/23/2022,8:00,17:00,
10025,09/23/2022,8:00,17:00,
10001,09/26/2022,8:00,17:00,
10002,09/26/2022,8:00,17:00,
10003,09/26/2022,11:30,17:00,
10004,09/26/2022,8:00,17:00,
10005,09/26/2022,8:00,17:00,
10006,09/26/2022,8:00,17:00,
10007,09/26/2022,8:00,17:00,
10008,09/26/2022,8:10,17:00,
10009,09/26/2022,8:00,17:00,
10010,09/26/2022,8:00,17:00,
10011,09/26/2022,8:00,17:00,
10012,09/26/2022,8:00,17:00,
10013,09/26/2022,8:00,17:00,
10014,09/26/2022,8:00,17:00,
10015,09/26/2022,8:00,17:00,
10016,09/26/2022,8:00,17:00,
10017,09/26/2022,8:05,17:00,
10018,09/26/2022,8:00,17:00,
10019,09/26/2022,8:00,17:00,
10020,09/26/2022,8:00,17:00,
10021,09/26/2022,8:00,17:00,
10022,09/26/2022,8:00,17:00,
10023,09/26/2022,9:00,17:00,
10024,09/26/2022,8:00,17:00,
10025,09/26/2022,8:00,17:00,
10001,09/27/2022,8:00,17:00,
10002,09/27/2022,8:00,17:00,
10003,09/27/2022,8:00,17:00,
10004,09/27/2022,8:00,17:00,
10005,09/27/2022,8:00,17:00,
10006,09/27/2022,8:00,17:00,
10007,09/27/2022,8:00,17:00,
10008,09/27/2022,8:00,17:00,
10009,09/27/2022,8:00,17:00,
10010,09/27/2022,8:00,17:00,
10011,09/27/2022,8:00,17:00,
10012,09/27/2022,8:00,17:00,
10013,09/27/2022,8:00,17:00,
10014,09/27/2022,8:00,17:00,
10015,09/27/2022,8:00,17:00,
10016,09/27/2022,8:00,17:00,
10017,09/27/2022,0:00,0:00,
10018,09/27/2022,8:00,17:00,
10019,09/27/2022,8:00,17:00,
10020,09/27/2022,8:00,17:00,
10021,09/27/2022,8:00,17:00,
10022,09/27/2022,8:00,17:00,
10023,09/27/2022,8:00,17:00,
10024,09/27/2022,8:00,17:00,
10025,09/27/2022,8:00,17:00,
10001,09/28/2022,8:00,17:00,
10002,09/28/2022,8:00,17:00,
10003,09/28/2022,8:00,17:00,
10004,09/28/2022,8:00,17:00,
10005,09/28/2022,8:00,17:00,
10006,09/28/2022,8:00,17:00,
10007,09/28/2022,8:00,17:00,
10008,09/28/2022,8:00,17:00,
10009,09/28/2022,8:00,17:00,
10010,09/28/2022,8:00,17:00,
10011,09/28/2022,8:00,17:00,
10012,09/28/2022,8:00,17:00,
10013,09/28/2022,10:00,17:00,
10014,09/28/2022,10:00,17:00,
10015,09/28/2022,10:00,17:00,
10016,09/28/2022,10:00,17:00,
10017,09/28/2022,10:00,17:00,
10018,09/28/2022,10:00,17:00,
10019,09/28/2022,10:00,17:00,
10020,09/28/2022,10:00,17:00,
10021,09/28/2022,10:00,17:00,
10022,09/28/2022,10:00,17:00,
10023,09/28/2022,10:00,17:00,
10024,09/28/2022,10:00,17:00,
10025,09/28/2022,10:00,17:00,
10001,09/29/2022,8:00,17:00,
10002,09/29/2022,8:00,17:00,
10003,09/29/2022,8:00,17:00,
10004,09/29/2022,8:00,17:00,
10005,09/29/2022,8:00,17:00,
10006,09/29/2022,8:00,17:00,
10007,09/29/2022,8:00,17:00,
10008,09/29/2022,8:00,17:00,
10009,09/29/2022,8:00,17:00,
10010,09/29/2022,8:00,17:00,
10011,09/29/2022,8:00,17:00,
10012,09/29/2022,8:00,17:00,
10013,09/29/2022,8:00,17:00,
10014,09/29/2022,8:00,17:00,
10015,09/29/2022,8:00,17:00,
10016,09/29/2022,8:00,17:00,
10017,09/29/2022,8:00,17:00,
10018,09/29/2022,8:00,17:00,
10019,09/29/2022,8:00,17:00,
10020,09/29/2022,8:00,17:00,
10021,09/29/2022,8:00,17:00,
10022,09/29/2022,8:00,17:00,
10023,09/29/2022,8:00,17:00,
10024,09/29/2022,8:00,17:00,
10025,09/29/2022,8:00,17:00,
10001,09/30/2022,8:00,17:00,
10002,09/30/2022,8:00,17:00,
10003,09/30/2022,8:00,17:00,
10004,09/30/2022,8:00,17:00,
10005,09/30/2022,8:00,17:00,
10006,09/30/2022,8:00,17:00,
10007,09/30/2022,8:27,17:00,
10008,09/30/2022,8:01,17:00,
10009,09/30/2022,8:05,17:00,
10010,09/30/2022,8:00,17:00,
10011,09/30/2022,8:00,17:00,
10012,09/30/2022,8:00,17:00,
10013,09/30/2022,8:00,17:00,
10014,09/30/2022,8:00,17:00,
10015,09/30/2022,8:00,17:00,
10016,09/30/2022,8:28,17:00,
10017,09/30/2022,8:00,17:00,
10018,09/30/2022,8:00,17:00,
10019,09/30/2022,8:00,17:00,
10020,09/30/2022,8:00,17:00,
10021,09/30/2022,8:11,17:00,
10022,09/30/2022,8:00,17:00,
10023,09/30/2022,8:00,17:00,
10024,09/30/2022,8:21,17:00,
10025,09/30/2022,8:00,17:00,
10001,03/10/2022,8:00,17:00,
10002,03/10/2022,8:00,17:00,
10003,03/10/2022,8:00,17:00,
10004,03/10/2022,8:00,17:00,
10005,03/10/2022,8:00,17:00,
10006,03/10/2022,8:00,17:00,
10007,03/10/2022,8:00,17:00,
10008,03/10/2022,8:00,17:00,
10009,03/10/2022,8:00,17:00,
10010,03/10/2022,8:00,17:00,March
10011,03/10/2022,8:00,17:00,
10012,03/10/2022,8:00,17:00,
10013,03/10/2022,8:00,17:00,
10014,03/10/2022,8:00,17:00,
10015,03/10/2022,8:00,17:00,
10016,03/10/2022,8:00,17:00,
10017,03/10/2022,8:00,17:00,
10018,03/10/2022,8:00,17:00,
10019,03/10/2022,8:00,17:00,
10020,03/10/2022,8:00,17:00,
10021,03/10/2022,8:00,17:00,
10022,03/10/2022,8:00,17:00,
10023,03/10/2022,8:00,17:00,
10024,03/10/2022,8:00,17:00,
10025,03/10/2022,8:00,17:00,
10001,04/10/2022,8:00,17:00,
10002,04/10/2022,8:00,17:00,
10003,04/10/2022,8:00,17:00,
10004,04/10/2022,8:00,17:00,
10005,04/10/2022,8:15,17:00,
10006,04/10/2022,8:00,17:00,
10007,04/10/2022,8:00,17:00,
10008,04/10/2022,8:00,17:00,
10009,04/10/2022,8:00,17:00,
10010,04/10/2022,8:00,17:00,
10011,04/10/2022,10:30,17:00,
10012,04/10/2022,8:00,17:00,
10013,04/10/2022,8:00,17:00,
10014,04/10/2022,8:00,17:00,
10015,04/10/2022,8:00,17:00,
10016,04/10/2022,8:00,17:00,
10017,04/10/2022,8:00,17:00,
10018,04/10/2022,8:00,17:00,
10019,04/10/2022,8:00,17:00,
10020,04/10/2022,8:00,17:00,
10021,04/10/2022,13:00,17:00,
10022,04/10/2022,8:00,17:00,
10023,04/10/2022,8:00,17:00,
10024,04/10/2022,8:00,17:00,
10025,04/10/2022,8:00,17:00,
10001,05/10/2022,8:00,17:00,
10002,05/10/2022,8:00,17:00,
10003,05/10/2022,11:30,17:00,
10004,05/10/2022,8:00,17:00,
10005,05/10/2022,8:00,17:00,
10006,05/10/2022,8:00,17:00,
10007,05/10/2022,8:00,17:00,
10008,05/10/2022,8:10,17:00,
10009,05/10/2022,0:00,0:00,
10010,05/10/2022,8:00,17:00,
10011,05/10/2022,8:00,17:00,
10012,05/10/2022,8:00,17:00,
10013,05/10/2022,8:00,17:00,
10014,05/10/2022,8:00,17:00,
10015,05/10/2022,8:00,17:00,
10016,05/10/2022,8:00,17:00,
10017,05/10/2022,8:05,17:00,
10018,05/10/2022,8:00,17:00,
10019,05/10/2022,8:00,17:00,
10020,05/10/2022,8:00,17:00,
10021,05/10/2022,8:00,17:00,
10022,05/10/2022,8:00,17:00,
10023,05/10/2022,9:00,17:00,
10024,05/10/2022,8:00,17:00,
10025,05/10/2022,8:00,17:00,
10001,06/10/2022,8:00,17:00,
10002,06/10/2022,8:00,17:00,
10003,06/10/2022,8:00,17:00,
10004,06/10/2022,8:00,17:00,
10005,06/10/2022,8:00,17:00,
10006,06/10/2022,8:00,17:00,
10007,06/10/2022,8:00,17:00,
10008,06/10/2022,8:00,17:00,
10009,06/10/2022,8:00,17:00,
10010,06/10/2022,8:00,17:00,
10011,06/10/2022,8:00,17:00,
10012,06/10/2022,8:00,17:00,
10013,06/10/2022,8:00,17:00,
10014,06/10/2022,8:00,17:00,
10015,06/10/2022,8:00,17:00,
10016,06/10/2022,8:00,17:00,
10017,06/10/2022,8:00,17:00,
10018,06/10/2022,8:00,17:00,
10019,06/10/2022,8:00,17:00,
10020,06/10/2022,8:00,17:00,
10021,06/10/2022,8:00,17:00,
10022,06/10/2022,8:00,17:00,
10023,06/10/2022,8:00,17:00,
10024,06/10/2022,8:00,17:00,
10025,06/10/2022,8:00,17:00,
10001,07/10/2022,8:00,17:00,
10002,07/10/2022,8:00,17:00,
10003,07/10/2022,8:00,17:00,
10004,07/10/2022,8:00,17:00,
10005,07/10/2022,8:00,17:00,
10006,07/10/2022,8:00,17:00,
10007,07/10/2022,8:00,17:00,
10008,07/10/2022,8:00,17:00,
10009,07/10/2022,8:00,17:00,
10010,07/10/2022,8:00,17:00,
10011,07/10/2022,8:00,17:00,
10012,07/10/2022,8:00,17:00,
10013,07/10/2022,10:00,17:00,
10014,07/10/2022,0:00,0:00,
10015,07/10/2022,10:00,17:00,
10016,07/10/2022,10:00,17:00,
10017,07/10/2022,10:00,17:00,
10018,07/10/2022,10:00,17:00,
10019,07/10/2022,10:00,17:00,
10020,07/10/2022,10:00,17:00,
10021,07/10/2022,10:00,17:00,
10022,07/10/2022,10:00,17:00,
10023,07/10/2022,10:00,17:00,
10024,07/10/2022,10:00,17:00,
10025,07/10/2022,10:00,17:00,
10001,10/10/2022,8:00,17:00,
10002,10/10/2022,8:00,17:00,
10003,10/10/2022,8:00,17:00,
10004,10/10/2022,8:00,17:00,
10005,10/10/2022,8:00,17:00,
10006,10/10/2022,8:00,17:00,
10007,10/10/2022,8:00,17:00,
10008,10/10/2022,8:00,17:00,
10009,10/10/2022,8:00,17:00,
10010,10/10/2022,8:00,17:00,
10011,10/10/2022,8:00,17:00,
10012,10/10/2022,8:00,17:00,
10013,10/10/2022,8:00,17:00,
10014,10/10/2022,8:00,17:00,
10015,10/10/2022,8:00,17:00,
10016,10/10/2022,8:00,17:00,
10017,10/10/2022,8:00,17:00,
10018,10/10/2022,8:00,17:00,
10019,10/10/2022,8:00,17:00,
10020,10/10/2022,8:00,17:00,
10021,10/10/2022,8:00,17:00,
10022,10/10/2022,8:00,17:00,
10023,10/10/2022,8:00,17:00,
10024,10/10/2022,8:00,17:00,
10025,10/10/2022,8:00,17:00,
10001,11/10/2022,8:00,17:00,
10002,11/10/2022,8:00,17:00,
10003,11/10/2022,8:00,17:00,
10004,11/10/2022,8:00,17:00,
10005,11/10/2022,8:00,17:00,
10006,11/10/2022,8:00,17:00,
10007,11/10/2022,8:27,17:00,
10008,11/10/2022,8:01,17:00,
10009,11/10/2022,8:05,17:00,
10010,11/10/2022,0:00,0:00,
10011,11/10/2022,8:00,17:00,
10012,11/10/2022,8:00,17:00,
10013,11/10/2022,8:00,17:00,
10014,11/10/2022,8:00,17:00,
10015,11/10/2022,8:00,17:00,
10016,11/10/2022,8:28,17:00,
10017,11/10/2022,8:00,17:00,
10018,11/10/2022,8:00,17:00,
10019,11/10/2022,8:00,17:00,
10020,11/10/2022,8:00,17:00,
10021,11/10/2022,8:11,17:00,
10022,11/10/2022,8:00,17:00,
10023,11/10/2022,8:00,17:00,
10024,11/10/2022,8:21,17:00,
10025,11/10/2022,8:00,17:00,
10001,12/10/2022,8:00,17:00,
10002,12/10/2022,8:00,17:00,
10003,12/10/2022,8:00,17:00,
10004,12/10/2022,8:00,17:00,
10005,12/10/2022,8:00,17:00,
10006,12/10/2022,8:00,17:00,
10007,12/10/2022,8:00,17:00,
10008,12/10/2022,8:00,17:00,
10009,12/10/2022,8:00,17:00,
